id,Edad,Ingresos,Hijos,Altura,Género,Ciudad,Nivel_Educación
89,34.0,2000.0,1.0,1.8,nan,Madrid,Bacherlors
90,25.0,2000.0,0.0,,f,Madrid,master
91,45.0,95000.0,0.0,1.75,Masculino,Barcelona,master
92,45.0,,-1.0,1.65,m,Madrid,master
93,34.0,5000.0,0.0,1.8,m,Madrid,Bacherlors
94,45.0,3500.0,0.0,1.65,f,Valencia,Bacherlors
95,34.0,3500.0,1.0,3.5,f,Barcelona,pHd
96,34.0,5000.0,2.0,1.8,f,Barcelona,Bacherlors
97,34.0,95000.0,0.0,1.75,m,Madrid,master
98,25.0,95000.0,1.0,1.8,nan,Madrid,Bacherlors
99,25.0,5000.0,0.0,1.8,nan,Madrid,master
